stock_code,entry_date,exit_date,days_held,entry_price,exit_price,quantity,signal_type,signal_strength,exit_reason,gross_pnl,net_pnl,pnl_pct,commissions,slippage,stop_loss,target1,target2
MBMA,2024-04-03,2024-04-04,2,490.0,499.8,22800,BUY - MOMENTUM,79,STOP_LOSS,223440.00000000026,167021.40000000026,2.0000000000000027,33851.16,22567.440000000002,480.0,505.0,510.0
PWON,2024-04-05,2024-04-16,2,432.0,423.0,25800,BUY - MOMENTUM,72,STOP_LOSS,-232200.0,-287347.5,-2.083333333333333,33088.5,22059.0,423.0,445.0,449.0
BRIS,2024-04-18,2024-04-18,1,2600.0,2548.0,4200,BUY - MOMENTUM,100,STOP_LOSS,-218400.0,-272454.0,-2.0,32432.4,21621.6,2548.0,2678.0,2722.0
ENRG,2024-04-19,2024-04-22,2,218.0,214.0,50800,BUY - MOMENTUM,91,STOP_LOSS,-203200.0,-258064.0,-1.834862385321101,32918.4,21945.6,214.0,225.0,227.0
BOGA,2024-05-08,2024-05-13,2,930.0,911.0,11800,BUY - MOMENTUM,75,STOP_LOSS,-224200.0,-278509.5,-2.043010752688172,32585.7,21723.800000000003,911.0,958.0,967.0
UNVR,2024-05-13,2024-05-13,1,2650.0,2597.0,4100,BUY - MOMENTUM,100,STOP_LOSS,-217300.0,-271081.75,-2.0,32269.050000000003,21512.7,2597.0,2730.0,2756.0
MDKA,2024-05-15,2024-05-15,1,2750.0,2695.0,3900,BUY - MOMENTUM,76,STOP_LOSS,-214500.0,-267588.75,-2.0,31853.25,21235.5,2695.0,2832.0,2860.0
KIJA,2024-05-16,2024-05-16,1,124.0,122.0,88000,BUY - MOMENTUM,77,STOP_LOSS,-176000.0,-230120.0,-1.6129032258064515,32472.0,21648.0,122.0,128.0,129.0
MIKA,2024-05-16,2024-05-20,3,3070.0,3120.0,3500,BUY - MOMENTUM,80,MAX_HOLDING,175000.0,120837.5,1.6286644951140066,32497.5,21665.0,3009.0,3162.0,3193.0
BULL,2024-05-21,2024-05-21,1,139.0,136.0,78300,BUY - MOMENTUM,86,STOP_LOSS,-234900.0,-288731.25,-2.158273381294964,32298.75,21532.5,136.0,143.0,145.0
BFIN,2024-05-22,2024-05-28,3,1070.0,1070.0,10100,BUY - MOMENTUM,79,MAX_HOLDING,0.0,-54035.0,0.0,32421.0,21614.0,1049.0,1102.0,1113.0
BULL,2024-05-28,2024-05-28,1,139.0,136.0,78000,BUY - MOMENTUM,87,STOP_LOSS,-234000.0,-287625.0,-2.158273381294964,32175.0,21450.0,136.0,143.0,145.0
AMRT,2024-05-27,2024-05-29,3,2800.0,2800.0,3800,BUY - REVERSAL,77,STOP_LOSS,0.0,-53200.0,0.0,31920.0,21280.0,2730.0,2905.0,2940.0
MEDC,2024-05-29,2024-05-29,1,1450.0,1421.0,7400,BUY - MOMENTUM,94,STOP_LOSS,-214600.0,-267713.5,-2.0,31868.1,21245.4,1421.0,1494.0,1508.0
AMMN,2024-05-29,2024-05-29,1,13200.0,13728.0,800,BUY - MOMENTUM,89,TARGET2,422400.0,368544.0,4.0,32313.6,21542.4,12936.0,13596.0,13728.0
BOGA,2024-06-07,2024-06-10,2,910.0,892.0,11800,BUY - MOMENTUM,66,STOP_LOSS,-212400.0,-265559.0,-1.9780219780219779,31895.4,21263.6,892.0,937.0,946.0
CMRY,2024-06-10,2024-06-12,3,4980.0,4880.0,2100,BUY - MOMENTUM,73,STOP_LOSS,-210000.0,-261765.0,-2.0080321285140563,31059.0,20706.0,4880.0,5129.0,5179.0
AKRA,2024-06-12,2024-06-14,3,1590.0,1570.0,6700,BUY - REVERSAL,87,MAX_HOLDING,-134000.0,-186930.0,-1.257861635220126,31758.0,21172.0,1550.0,1650.0,1670.0
CMRY,2024-06-14,2024-06-14,1,5000.0,4900.0,2100,BUY - MOMENTUM,100,STOP_LOSS,-210000.0,-261975.0,-2.0,31185.0,20790.0,4900.0,5150.0,5200.0
AMMN,2024-06-14,2024-06-14,1,12100.0,11858.0,800,BUY - MOMENTUM,93,STOP_LOSS,-193600.0,-241516.0,-2.0,28749.6,19166.4,11858.0,12463.0,12584.0
ICBP,2024-06-14,2024-06-19,2,10500.0,10238.0,1000,BUY - REVERSAL,95,STOP_LOSS,-262000.0,-313845.0,-2.4952380952380953,31107.0,20738.0,10238.0,10894.0,11025.0
HEAL,2024-06-21,2024-06-25,3,1360.0,1360.0,7700,BUY - MOMENTUM,72,MAX_HOLDING,0.0,-52360.0,0.0,31416.0,20944.0,1333.0,1401.0,1414.0
TPIA,2024-06-25,2024-06-27,3,8925.0,9050.0,1100,BUY - MOMENTUM,73,MAX_HOLDING,137500.0,88068.75,1.400560224089636,29658.75,19772.5,8746.0,9193.0,9282.0
NCKL,2024-06-27,2024-06-27,1,1010.0,990.0,10400,BUY - MOMENTUM,72,STOP_LOSS,-208000.0,-260000.0,-1.9801980198019802,31200.0,20800.0,990.0,1040.0,1050.0
INCO,2024-06-28,2024-06-28,1,4220.0,4136.0,2400,BUY - MOMENTUM,100,STOP_LOSS,-201600.0,-251736.0,-1.9905213270142181,30081.6,20054.4,4136.0,4347.0,4389.0
MNCN,2024-07-01,2024-07-01,1,318.0,312.0,33000,BUY - MOMENTUM,80,STOP_LOSS,-198000.0,-249975.0,-1.8867924528301887,31185.0,20790.0,312.0,328.0,331.0
ACES,2024-07-03,2024-07-05,3,825.0,835.0,12600,BUY - REVERSAL,100,MAX_HOLDING,126000.0,73710.0,1.2121212121212122,31374.0,20916.0,804.0,856.0,866.0
MDKA,2024-07-08,2024-07-09,2,2480.0,2430.0,4200,BUY - MOMENTUM,79,STOP_LOSS,-210000.0,-261555.0,-2.0161290322580645,30933.0,20622.0,2430.0,2554.0,2579.0
MBMA,2024-07-09,2024-07-09,1,625.0,612.0,16700,BUY - MOMENTUM,100,STOP_LOSS,-217100.0,-268744.75,-2.08,30986.85,20657.9,612.0,644.0,650.0
MEDC,2024-07-12,2024-07-15,2,1315.0,1282.0,7900,BUY - REVERSAL,96,STOP_LOSS,-260700.0,-311990.75,-2.5095057034220534,30774.45,20516.300000000003,1282.0,1364.0,1381.0
TPMA,2024-07-15,2024-07-17,3,705.0,695.0,14700,BUY - REVERSAL,100,MAX_HOLDING,-147000.0,-198450.0,-1.4184397163120568,30870.0,20580.0,687.0,731.0,740.0
JSMR,2024-07-19,2024-07-19,1,5350.0,5243.0,1900,BUY - MOMENTUM,100,STOP_LOSS,-203300.0,-253616.75,-2.0,30190.050000000003,20126.7,5243.0,5510.0,5564.0
