date,capital,unrealized_pnl,total_equity,num_positions,return_pct
2024-09-06,38832826.98374996,82500.0,38915326.98374996,3,-61.084673016250036
2024-09-09,38831933.23374996,-74000.0,38757933.23374996,4,-61.24206676625003
2024-09-10,38782794.48374996,-122500.0,38660294.48374996,3,-61.339705516250035
2024-09-11,38496620.73374996,-82500.0,38414120.73374996,2,-61.58587926625003
2024-09-12,38385451.98374996,85000.0,38470451.98374996,4,-61.52954801625003
2024-09-13,37814497.23374996,-287000.0,37527497.23374996,2,-62.47250276625004
2024-09-17,37646071.083749965,0.0,37646071.083749965,3,-62.353928916250034
2024-09-18,37646071.083749965,-172500.0,37473571.083749965,4,-62.52642891625003
2024-09-19,37294779.583749965,34000.0,37328779.583749965,1,-62.67122041625004
2024-09-20,37534322.333749965,0.0,37534322.333749965,4,-62.46567766625003
2024-09-23,37700775.63374997,10000.0,37710775.63374997,3,-62.28922436625003
2024-09-24,37549820.63374997,-17500.0,37532320.63374997,2,-62.46767936625003
2024-09-25,37061264.13374997,0.0,37061264.13374997,1,-62.93873586625003
2024-09-26,37328404.13374997,0.0,37328404.13374997,3,-62.67159586625003
2024-09-27,37328404.13374997,-68000.0,37260404.13374997,5,-62.73959586625003
2024-09-30,36821582.88374997,-180000.0,36641582.88374997,2,-63.35841711625003
2024-10-01,36666432.88374997,0.0,36666432.88374997,1,-63.33356711625003
2024-10-02,36666432.88374997,-100000.0,36566432.88374997,4,-63.43356711625003
2024-10-03,36442830.88374997,0.0,36442830.88374997,4,-63.55716911625004
2024-10-04,36258998.63374997,-152600.0,36106398.63374997,2,-63.89360136625003
2024-10-07,36123021.13374997,90800.0,36213821.13374997,2,-63.78617886625003
2024-10-08,36196833.13374997,-84800.0,36112033.13374997,3,-63.88796686625003
2024-10-09,36127403.13374997,-306000.0,35821403.13374997,3,-64.17859686625003
2024-10-10,35819008.13374997,-25000.0,35794008.13374997,1,-64.20599186625003
2024-10-11,35467724.13374997,0.0,35467724.13374997,0,-64.53227586625003
2024-10-14,35467724.13374997,0.0,35467724.13374997,3,-64.53227586625003
2024-10-15,35467724.13374997,-69700.0,35398024.13374997,5,-64.60197586625003
2024-10-16,35457227.13374997,-35000.0,35422227.13374997,1,-64.57777286625003
2024-10-17,35432552.13374997,0.0,35432552.13374997,4,-64.56744786625002
2024-10-18,35204909.13374997,157000.0,35361909.13374997,4,-64.63809086625002
2024-10-21,35255032.88374997,-94500.0,35160532.88374997,2,-64.83946711625002
2024-10-22,34989224.13374997,-16000.0,34973224.13374997,3,-65.02677586625003
2024-10-23,34661186.13374997,22500.0,34683686.13374997,3,-65.31631386625003
2024-10-24,34613317.38374997,-25000.0,34588317.38374997,4,-65.41168261625003
2024-10-25,34583936.13374997,-10000.0,34573936.13374997,3,-65.42606386625003
2024-10-28,34293646.13374997,-78000.0,34215646.13374997,2,-65.78435386625003
2024-10-29,34065938.13374997,-180000.0,33885938.13374997,3,-66.11406186625003
2024-10-30,33844253.87749997,-117500.0,33726753.87749997,2,-66.27324612250003
2024-10-31,33818756.37749997,-182000.0,33636756.37749997,2,-66.36324362250004
2024-11-01,33554408.377499968,-92000.0,33462408.377499968,1,-66.53759162250003
2024-11-04,33391798.377499968,0.0,33391798.377499968,1,-66.60820162250003
2024-11-05,33441561.064999968,0.0,33441561.064999968,0,-66.55843893500003
2024-11-06,33441561.064999968,0.0,33441561.064999968,2,-66.55843893500003
2024-11-07,33441561.064999968,-16500.0,33425061.064999968,5,-66.57493893500003
2024-11-08,33346501.064999968,-77600.0,33268901.064999968,2,-66.73109893500003
2024-11-11,33337748.904999968,0.0,33337748.904999968,0,-66.66225109500003
2024-11-12,33108989.654999968,0.0,33108989.654999968,1,-66.89101034500003
2024-11-13,32883769.154999968,-32500.0,32851269.154999968,2,-67.14873084500003
2024-11-14,32795594.154999968,-22500.0,32773094.154999968,3,-67.22690584500003
